AN,DAY,TRIAL,SUCC,t-IN,t-NSP,t-END,Strat,CH
LC59,2,4,1,42,32,80,2,9
LC59,3,1,1,13,11,112,2,9
LC59,3,2,0,29,44,208,2,9
LC59,3,3,0,27,17,208,2,9
LC59,3,4,0,35,24,219,2,9
LC59,4,1,0,27,41,218,2,9
LC59,4,2,0,16,11,201,2,9
LC59,4,3,0,27,90,224,2,9
LC59,4,4,0,22,8,203,1,9
LC60,1,1,0,23,77,2,1,10
LC60,1,2,1,26,15,48,2,10
LC60,1,3,0,22,15,199,2,10
LC60,1,4,0,47,40,215,2,10
LC60,2,1,1,19,20,86,2,10
LC60,2,2,0,39,36,223,1,10
LC60,2,3,0,25,132,205,2,10
LC60,2,4,0,46,61,222,2,10
LC60,3,1,0,39,5,225,2,10
LC60,3,2,1,41,5,50,2,10
LC60,3,3,0,48,59,222,2,10
LC60,3,4,1,17,20,122,2,10
LC60,4,1,0,43,25,226,2,10
LC60,4,2,1,23,16,51,2,10
LC60,4,3,1,36,5,48,3,10
LC60,4,4,1,40,2,46,3,10
TD19,1,1,0,55,78,274,1,8 (11)
TD19,1,2,0,85,146,232,2,8 (11)
TD19,1,3,0,71,94,268,2,8 (11)
TD19,1,4,0,73,96,130,2,8 (11)
TD19,2,1,0,66,109,287,2,8 (11)
TD19,2,2,0,61,91,145,2,8 (11)
TD19,2,3,0,69,98,228,2,8 (11)
TD19,2,4,0,64,92,113,2,8 (11)
TD19,3,1,0,54,69,258,2,8 (11)
TD19,3,2,1,78,91,144,3,8 (11)
TD19,3,3,0,60,72,186,2,8 (11)
TD19,3,4,0,66,79,110,2,8 (11)
TD19,4,1,0,110,134,154,2,8 (11)
TD19,4,2,0,107,131,210,2,8 (11)
TD19,4,3,0,75,77,107,2,8 (11)
TD19,4,4,1,80,83,97,3,8 (11)
